,customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
0,1,1,Mary,Smith-Smith,mary.smith@sakilacustomer.org,,True,2006-02-14,2023-06-07 09:38:49.304305,1
1,526,2,Karl,Seal,karl.seal@sakilacustomer.org,532.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
2,2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,,True,2006-02-14,2023-01-12 10:22:31.328143,1
3,37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,,True,2006-02-14,2023-01-12 10:22:31.328143,1
4,3,1,Linda,Williams,linda.williams@sakilacustomer.org,7.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
5,4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
6,5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
7,6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
8,7,1,Maria,Miller,maria.miller@sakilacustomer.org,11.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
9,8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
10,9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
11,10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
12,11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
13,12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
14,13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
15,14,2,Betty,White,betty.white@sakilacustomer.org,18.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
16,15,1,Helen,Harris,helen.harris@sakilacustomer.org,19.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
17,16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20.0,True,2006-02-14,2022-09-28 10:21:51.262503,0
18,17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
19,18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
20,19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
21,20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
22,21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
23,22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
24,23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
25,24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
26,25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
27,26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
28,27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
29,28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
30,29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
31,30,1,Melissa,King,melissa.king@sakilacustomer.org,34.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
32,31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
33,32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
34,33,2,Anna,Hill,anna.hill@sakilacustomer.org,37.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
35,34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
36,35,2,Virginia,Green,virginia.green@sakilacustomer.org,39.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
37,36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
38,38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
39,39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
40,40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
41,41,1,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
42,42,2,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
43,43,2,Christine,Roberts,christine.roberts@sakilacustomer.org,47.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
44,44,1,Marie,Turner,marie.turner@sakilacustomer.org,48.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
45,45,1,Janet,Phillips,janet.phillips@sakilacustomer.org,49.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
46,46,2,Catherine,Campbell,catherine.campbell@sakilacustomer.org,50.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
47,47,1,Frances,Parker,frances.parker@sakilacustomer.org,51.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
48,48,1,Ann,Evans,ann.evans@sakilacustomer.org,52.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
49,49,2,Joyce,Edwards,joyce.edwards@sakilacustomer.org,53.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
50,50,1,Diane,Collins,diane.collins@sakilacustomer.org,54.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
51,51,1,Alice,Stewart,alice.stewart@sakilacustomer.org,55.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
52,52,1,Julie,Sanchez,julie.sanchez@sakilacustomer.org,56.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
53,53,1,Heather,Morris,heather.morris@sakilacustomer.org,57.0,True,2006-02-14,2022-09-28 10:21:51.262503,1
